2011 Local Government Area Code (LGA),2011 Local Government Area Name (LGA),Usual Resident Population,Score,RankAU,DecileAU,PercentileAU,StateSTATE,RankSTATE,DecileSTATE,PercentileSTATE,Minimum score for SA1s in area,Maximum score for SA1s in area,% Usual Resident Population without a SA1 level score
45290,Norwood Payneham St Peters,34863,1101.62608,519,10,92,SA,66,10,NA,932.4713796,1208.335001,0
45340,Onkaparinga (C),159517,951.8816342,258,5,46,SA,32,5,NA,754.8473661,1182.49112,4.38825E-05
45400,Orroroo/Carrieton (DC),871.4258035,998.5369673,425,8,76,SA,54,8,NA,943.7389965,1081.621566,0
45540,Peterborough (DC),1733,875.4148944,26,1,5,SA,3,1,NA,783.419449,1017.839075,0
45680,Playford (C),79082.16839,853.5295226,17,1,4,SA,1,1,NA,710.3352599,1081.341262,0.000177031
45890,Port Adelaide Enfield (C),112797.185,965.4287976,317,6,57,SA,42,6,NA,759.3555682,1124.50843,0.009149165
46090,Port Augusta (C),13978,893.4291057,42,1,8,SA,6,1,NA,742.1660017,1020.806296,0.033266562
46300,Port Lincoln (C),14083,920.4030004,114,3,21,SA,18,3,NA,755.3043586,1025.916232,0
46450,Port Pirie City and Dists (,17359.87576,880.2341224,31,1,6,SA,4,1,NA,750.8904041,1078.403866,0.000230416
46510,Prospect (C),19950,1081.061885,507,9,90,SA,64,9,NA,1018.34836,1157.297117,0
46670,Renmark Paringa (DC),9231,895.002208,43,1,8,SA,7,1,NA,775.4455292,1021.386062,0.000433323
46860,Robe (DC),1399,977.8199812,363,7,65,SA,46,7,NA,908.3017838,1067.198849,0
46970,Roxby Downs (M),4694,982.1823613,377,7,67,SA,48,7,NA,943.2711501,1013.330421,0.095014913
47140,Salisbury (C),129066.7199,905.0625714,63,2,12,SA,12,2,NA,757.6638551,1119.945217,0.002239152
47290,Southern Mallee (DC),2097.000625,988.1696736,394,7,70,SA,49,7,NA,920.3596678,1083.165885,0
47490,Streaky Bay (DC),2109.900051,951.6510971,255,5,46,SA,31,5,NA,879.4323861,1018.501231,0
47630,Tatiara (DC),6559,954.0784062,271,5,48,SA,35,5,NA,843.3985456,1074.510416,0
47700,Tea Tree Gully (C),95461.1107,992.631948,402,8,72,SA,53,8,NA,881.6541645,1150.274773,0.004724437
47800,The Coorong (DC),5519.997384,937.8271163,192,4,34,SA,24,4,NA,754.2635639,1094.801496,0
47910,Tumby Bay (DC),2572.982195,965.339558,316,6,56,SA,41,6,NA,871.3305491,1076.945812,0
47980,Unley (C),36813,1131.208474,535,10,95,SA,68,10,NA,1052.713055,1191.629259,0
