2011 Local Government Area Code (LGA),2011 Local Government Area Name (LGA),Usual Resident Population,Score,RankAU,DecileAU,PercentileAU,StateSTATE,RankSTATE,DecileSTATE,PercentileSTATE,Minimum score for SA1s in area,Maximum score for SA1s in area,% Usual Resident Population without a SA1 level score
17050,Snowy River (A),7508.591447,1031.162879,473,9,84,NSW,123,8,80,920.2384023,1097.10451,0.019331303
17100,Strathfield (A),35221.99704,1044.199646,495,9,88,NSW,128,9,84,789.6101495,1177.2504,0.001561524
17150,Sutherland Shire (A),210759.002,1083.245214,531,10,94,NSW,137,9,89,745.1976809,1193.448743,0.000498204
17200,Sydney (C),169522.5953,1050.574435,504,9,90,NSW,130,9,85,542.3930495,1191.522396,0.012650687
17310,Tamworth Regional (A),56339.83094,949.2271874,228,5,41,NSW,69,5,45,551.9111241,1107.71739,0.007295017
17350,Temora (A),5757.730178,937.110623,168,3,30,NSW,46,3,30,834.3659677,1066.427791,0
17400,Tenterfield (A),6804,907.2561111,77,2,14,NSW,14,1,10,781.1100924,1033.09522,0.020429159
17420,The Hills Shire (A),169809.9536,1128.061131,556,10,99,NSW,149,10,97,911.7155033,1225.244595,0.000323892
17450,Tumbarumba (A),3364.000986,943.5838821,201,4,36,NSW,59,4,39,861.208915,1068.573254,0.003864446
17500,Tumut Shire (A),10937.99819,935.5528792,160,3,29,NSW,41,3,27,795.9584611,1073.109057,0.001005669
17550,Tweed (A),85163,948.8052488,227,5,41,NSW,68,5,45,748.4077751,1145.355508,0.000352266
17620,Upper Hunter Shire (A),13766.01962,967.0910312,287,6,51,NSW,86,6,56,854.8963316,1102.87709,0
17640,Upper Lachlan Shire (A),7202.985654,996.2605148,401,8,71,NSW,113,8,74,897.3968079,1096.576832,0
17650,Uralla (A),6032.834344,974.044802,318,6,57,NSW,94,7,62,820.4370925,1084.651834,0
17700,Urana (A),1149.004102,925.4701839,121,3,22,NSW,30,2,20,851.7412922,1007.450068,0
17750,Wagga Wagga (C),59460.14767,986.9948997,373,7,67,NSW,108,8,71,573.9386428,1149.476179,0.019424775
17800,Wakool (A),3953.134458,961.8098536,262,5,47,NSW,82,6,54,856.1527981,1041.493809,0
17850,Walcha (A),3033.047946,965.4110802,280,5,50,NSW,84,6,55,852.124464,1060.959597,0
17900,Walgett (A),6451.999406,864.195818,43,1,8,NSW,3,1,2,733.5411172,1062.649668,0.024333542
17950,Warren (A),2751.685144,938.094792,173,4,31,NSW,49,4,32,813.3601291,1091.006013,0
18000,Warringah (A),140788.999,1094.550902,541,10,96,NSW,140,10,91,740.0727394,1204.390532,0.00070318
18020,Warrumbungle Shire (A),9589.744962,909.7805795,85,2,16,NSW,15,1,10,733.0847223,1069.634011,0
18050,Waverley (A),63504,1100.915296,544,10,97,NSW,141,10,92,963.4141877,1188.579587,9.44822E-05
18100,Weddin (A),3660.910497,938.6147265,180,4,32,NSW,52,4,34,811.1789067,1080.080976,0
18150,Wellington (A),8500.316234,899.0689449,68,2,13,NSW,10,1,7,657.855871,1073.412812,0
18200,Wentworth (A),6610,945.4863531,214,4,38,NSW,65,5,43,752.0077704,1084.240074,0.023146747
18250,Willoughby (C),67377.8403,1110.861149,549,10,98,NSW,144,10,94,722.8386562,1194.279446,0.000608509
18350,Wingecarribee (A),44382.86555,1018.529689,451,8,80,NSW,120,8,78,736.4439721,1171.79079,0.000676089
18400,Wollondilly (A),43246.94224,1033.327135,476,9,85,NSW,124,9,81,835.8740203,1188.217913,0.000494854
18450,Wollongong (C),192336.3448,981.4614369,350,7,62,NSW,100,7,65,549.8164662,1171.04569,0.002883264
18500,Woollahra (A),52165,1129.710485,557,10,99,NSW,150,10,98,981.9934173,1200.908449,0.003795648
18550,Wyong (A),149731.999,942.1977101,191,4,34,NSW,56,4,37,621.0284136,1169.537445,0.003179007
18710,Yass Valley (A),15025.39028,1063.525984,518,10,92,NSW,135,9,88,906.7534593,1188.239905,0
18750,Young (A),12238.24231,935.613353,161,3,29,NSW,42,3,28,746.0588509,1063.982919,0.013564039
19399,Unincorporated NSW,1061,1008.202586,428,8,76,NSW,117,8,76,976.7358958,1039.323181,0
20110,Alpine (S),11891.10442,969.9201856,302,6,54,VIC,33,5,NA,858.4023057,1071.759114,0.000756868
20260,Ararat (RC),11173.96591,938.4187949,178,4,32,VIC,11,2,NA,731.4915487,1085.439722,0.038392815
