2011 Local Government Area Code (LGA),2011 Local Government Area Name (LGA),Usual Resident Population,Score,RankAU,DecileAU,PercentileAU,StateSTATE,RankSTATE,DecileSTATE,PercentileSTATE,Minimum score for SA1s in area,Maximum score for SA1s in area,% Usual Resident Population without a SA1 level score
43220,Kimba (DC),1087.33472,1037.835826,492,9,88,SA,65,10,NA,980.9783417,1121.292833,0
43360,Kingston (DC),2290,988.2700091,313,6,56,SA,39,6,NA,915.4420185,1070.596296,0
43650,Light (RegC),13785.11582,1056.244704,523,10,93,SA,69,10,NA,917.7713989,1162.7858,0
43710,Lower Eyre Peninsula (DC),4916.014869,1033.366189,480,9,85,SA,62,9,NA,941.2597291,1130.019876,0
43790,Loxton Waikerie (DC),11265.54342,960.8397234,164,3,30,SA,22,4,NA,713.2730639,1093.094931,0
43920,Mallala (DC),8333,1034.815823,484,9,86,SA,63,9,NA,931.739938,1092.929613,0
44000,Maralinga Tjarutja (AC),73.3121616,688.0748991,29,1,6,SA,2,1,NA,688.0748991,688.0748991,0.004257978
44060,Marion (C),83005.00099,973.5054207,233,5,42,SA,32,5,NA,611.1447692,1162.722507,0.000469851
44210,Mid Murray (DC),8134.236089,965.0141507,185,4,33,SA,24,4,NA,878.0366089,1024.397757,0
44340,Mitcham (C),62912,1041.458803,500,9,89,SA,66,10,NA,803.8678746,1221.101866,0.008090666
44550,Mount Barker (DC),29806.39294,1036.286437,489,9,87,SA,64,9,NA,828.164646,1198.288753,0
44620,Mount Gambier (C),25253.72922,930.5433756,85,2,16,SA,13,2,NA,613.5236704,1141.241801,0
44830,Mount Remarkable (DC),2868.074185,990.4350978,325,6,58,SA,44,7,NA,917.4017642,1064.522124,0
45040,Murray Bridge (RC),19741.95746,932.0791852,88,2,16,SA,14,2,NA,697.9693898,1100.37695,0.019501612
45090,Naracoorte and Lucindale (D,8118,1004.369538,390,7,70,SA,52,8,NA,891.1222916,1127.218814,0
45120,Northern Areas (DC),4496.500012,990.4230851,324,6,58,SA,43,6,NA,919.2636945,1099.708261,0
45290,Norwood Payneham St Peters,34863,964.4938816,181,4,33,SA,23,4,NA,778.6158162,1103.592266,0
45340,Onkaparinga (C),159517,995.9685131,354,7,63,SA,47,7,NA,674.0511976,1189.569815,0.000219412
45400,Orroroo/Carrieton (DC),871.4258035,1008.015134,405,8,72,SA,54,8,NA,964.5578947,1068.601192,0
45540,Peterborough (DC),1733,872.5901497,42,1,8,SA,4,1,NA,784.9569855,988.5143981,0
45680,Playford (C),79082.16839,913.51491,58,2,11,SA,8,2,NA,653.4629041,1157.672543,0.000177031
45890,Port Adelaide Enfield (C),112797.185,921.1271858,69,2,13,SA,11,2,NA,671.4905633,1120.915054,0.009361936
46090,Port Augusta (C),13978,917.3554576,62,2,11,SA,10,2,NA,555.8827712,1122.874951,0.033266562
46300,Port Lincoln (C),14083,943.5970164,108,2,20,SA,17,3,NA,731.7742443,1062.821319,0
